,0,1,2,3,4
CPR1-DOX2-TMP1,101.150779,101.9026121,100.4092204,0.0,0.0
FOX3-FUS1-CPR1-DOX2,65.68234902,68.79218472,81.46252285,81.60086925,0.0
FOX3-FUS1-CPR1-TMP1,71.55488822,79.02309059,90.8226691,67.40311481,0.0
FOX3-FUS1-DOX2-TMP1,65.68234902,70.21314387,66.83729433,66.53386454,0.0
FOX3-CPR1-DOX2-TMP1,92.89289289,70.21314387,103.6928702,109.7428468,0.0
FUS1-CPR1-DOX2-TMP1,70.64654644,84.89569122,69.90934991,0.0,0.0
FOX3-FUS1-CPR1-DOX2-TMP1,65.68234902,81.58081705,64.2047532,88.84462151,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR1,102.4070666,86.02683998,88.14296814,0.0,0.0
DOX2,84.81904061,89.71795699,96.51385651,0.0,0.0
TMP2,87.95975954,98.09242676,93.77881378,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR1,81.94861528,80.72824156,114.8080439,107.4248461,0.0
FOX3-DOX2,88.08808809,71.06571936,100.7678245,103.6580949,0.0
FOX3-TMP2,85.15181849,75.3285968,104.5703839,101.6298443,0.0
FUS1-CPR1,81.63906269,75.05271252,72.33359233,0.0,0.0
FUS1-DOX2,81.95313458,88.70587652,69.24630925,0.0,0.0
FUS1-TMP2,72.84504969,79.49792871,73.55607356,0.0,0.0
CPR1-DOX2,89.21604711,92.69466425,98.08857809,0.0,0.0
CPR1-TMP2,97.38191633,99.04497309,100.7407407,0.0,0.0
DOX2-TMP2,96.12562876,89.20199439,97.50841751,0.0,0.0
FOX3-FUS1-CPR1,65.68234902,80.1598579,89.06764168,82.47011952,0.0
FOX3-FUS1-DOX2,68.88555222,76.46536412,79.41499086,85.94712061,0.0
FOX3-FUS1-TMP2,67.55088422,77.31793961,63.03473492,76.9648678,0.0
FOX3-CPR1-DOX2,81.68168168,68.5079929,115.1005484,115.5378486,0.0
FOX3-CPR1-TMP2,81.14781448,83.85435169,97.55027422,90.03984064,0.0
FOX3-DOX2-TMP2,94.49449449,76.74955595,113.9305302,101.3400942,0.0
FUS1-CPR1-DOX2,73.47319347,75.68774341,70.57239057,0.0,0.0
FUS1-CPR1-TMP2,75.98576862,79.18041327,85.82232582,0.0,0.0
FUS1-DOX2-TMP2,57.14145504,84.26066033,70.57239057,0.0,0.0
CPR1-DOX2-TMP2,109.9447921,102.8551584,93.77881378,0.0,0.0
FOX3-FUS1-CPR1-DOX2,60.87754421,72.77087034,84.38756856,70.01086563,0.0
FOX3-FUS1-CPR1-TMP2,66.48314982,76.46536412,85.85009141,67.98261499,0.0
FOX3-FUS1-DOX2-TMP2,45.3953954,59.75133215,59.81718464,51.17710974,0.0
FOX3-CPR1-DOX2-TMP2,90.75742409,75.61278863,97.84277879,105.6863455,0.0
FUS1-CPR1-DOX2-TMP2,84.15163784,81.40302136,70.9039109,0.0,0.0
FOX3-FUS1-CPR1-DOX2-TMP2,55.80580581,78.1705151,54.84460695,70.59036581,0.0
FOX3,81.41474808,75.98579041,104.2778793,111.1915972,0.0
FUS1,102.0929947,105.0777665,108.034188,0.0,0.0
CPR1,102.4070666,86.02683998,88.14296814,0.0,0.0
DOX2,84.81904061,89.71795699,96.51385651,0.0,0.0
TMP3,99.89449147,100.9500657,93.11577312,0.0,0.0
FOX3-FUS1,68.88555222,79.30728242,82.9250457,78.99311844,0.0
FOX3-CPR1,81.94861528,80.72824156,114.8080439,107.4248461,0.0
FOX3-DOX2,88.08808809,71.06571936,100.7678245,103.6580949,0.0
