,0,1,2,3,4
ERY1-TMP1,92.11235636,99.02720993,105.6062192,0.0,0.0
DOX2-TMP1,100.9646758,105.3432962,109.4333981,0.0,0.0
AMP1-CPR1-ERY1,80.08228117,74.43958833,72.35760203,0.0,0.0
AMP1-CPR1-DOX2,80.76322883,77.59763147,90.77590073,0.0,0.0
AMP1-CPR1-TMP1,90.97744361,85.94388834,95.55987442,0.0,0.0
AMP1-ERY1-DOX2,77.13150802,80.75567461,72.11840335,0.0,0.0
AMP1-ERY1-TMP1,93.70123422,90.22980403,86.94872178,0.0,0.0
AMP1-DOX2-TMP1,100.9646758,98.3504864,99.62625206,0.0,0.0
CPR1-ERY1-DOX2,97.55993758,90.45537854,94.363881,0.0,0.0
CPR1-ERY1-TMP1,103.4614839,103.0875511,101.7790402,0.0,0.0
CPR1-DOX2-TMP1,105.7313094,104.8921472,112.7821797,0.0,0.0
ERY1-DOX2-TMP1,96.65200738,99.02720993,108.7158021,0.0,0.0
AMP1-CPR1-ERY1-DOX2,71.45694425,80.30452559,94.363881,0.0,0.0
AMP1-CPR1-ERY1-TMP1,78.26642077,80.98124912,89.10150994,0.0,0.0
AMP1-CPR1-DOX2-TMP1,85.75684494,83.23699422,96.51666916,0.0,0.0
AMP1-ERY1-DOX2-TMP1,95.97105972,85.49273932,85.75272836,0.0,0.0
CPR1-ERY1-DOX2-TMP1,100.9646758,100.380657,106.0846165,0.0,0.0
AMP1-CPR1-ERY1-DOX2-TMP1,78.03943822,83.68814324,80.72955599,0.0,0.0
AMP1,86.21081004,86.39503736,74.51039019,0.0,0.0
CPR1,91.65839126,101.5085295,92.45029152,0.0,0.0
ERY1,90.29649596,96.99703933,94.12468231,0.0,0.0
DOX2,99.82976309,103.9898491,105.1278218,0.0,0.0
TMP2,91.88537381,100.1550825,106.8022126,0.0,0.0
AMP1-CPR1,81.44417648,73.98843931,72.11840335,0.0,0.0
AMP1-ERY1,81.21719393,77.37205696,72.59680072,0.0,0.0
AMP1-DOX2,90.52347851,93.83899619,91.49349679,0.0,0.0
AMP1-TMP2,87.7996879,96.99703933,96.03827179,0.0,0.0
CPR1-ERY1,100.9646758,99.02720993,95.79907311,0.0,0.0
CPR1-DOX2,98.46786778,103.9898491,100.3438481,0.0,0.0
CPR1-TMP2,88.93460065,103.5387001,106.5630139,0.0,0.0
ERY1-DOX2,93.47425167,96.99703933,96.27747047,0.0,0.0
ERY1-TMP2,90.29649596,100.1550825,102.0182389,0.0,0.0
DOX2-TMP2,97.33295503,98.12491188,99.86545074,0.0,0.0
AMP1-CPR1-ERY1,80.08228117,74.43958833,72.35760203,0.0,0.0
AMP1-CPR1-DOX2,80.53624628,82.56027069,92.45029152,0.0,0.0
AMP1-CPR1-TMP2,89.84253086,88.87635697,96.51666916,0.0,0.0
AMP1-ERY1-DOX2,83.48701944,82.7858452,79.77276125,0.0,0.0
AMP1-ERY1-TMP2,93.70123422,96.09474129,94.363881,0.0,0.0
AMP1-DOX2-TMP2,98.92183288,99.47835895,103.2142323,0.0,0.0
CPR1-ERY1-DOX2,101.6456235,92.71112364,101.5398415,0.0,0.0
CPR1-ERY1-TMP2,90.97744361,99.47835895,96.51666916,0.0,0.0
CPR1-DOX2-TMP2,98.46786778,94.96686874,107.28061,0.0,0.0
ERY1-DOX2-TMP2,95.97105972,96.99703933,100.3438481,0.0,0.0
AMP1-CPR1-ERY1-DOX2,72.36487445,78.95107853,92.21109284,0.0,0.0
